類別,大題號、小題號,自評項目,補充資料
一、消費法規之遵循,一、2.,訂定廣告文宣文字內容時，是否詳細審核其適法性？,"金融消費者保護法
第 4 條: 金融消費者保護法中定義了""金融消費者""，指的是接受金融服務業提供金融商品或服務的人。但以下人不包括在金融消費者範圍內：
•專業投資機構。
•符合一定財務或專業能力標準的個人或法人。 專業投資機構的範圍以及一定財務或專業能力的條件由主管機關規定。金融服務業對於不符合上述條件的自然人或法人，但協助其滿足表面條件的情況下，仍被視為金融消費者。
第 8 條: 金融服務業在刊登、播放廣告以及進行業務招攬或商業促銷活動時，不得含有虛假、欺詐、隱匿或其他可能誤導他人的內容。同時，其廣告內容必須真實，其向金融消費者承擔的義務不得低於廣告的內容，以及在進行業務招攬或商業促銷活動時向金融消費者提供的資訊或說明。廣告、招攬活動的方式、內容以及其他應遵循的規定由主管機關確定。金融服務業不得通過金融教育宣傳來推薦個別金融商品或服務。
第 9 條: 在與金融消費者簽訂提供金融商品或服務的合同之前，金融服務業應充分瞭解金融消費者的相關資訊，以確保所提供的商品或服務適合金融消費者的需求。
第 10 條:
1.在與金融消費者簽訂提供金融商品或服務的合同之前，金融服務業應充分向金融消費者解釋該金融商品、服務以及合同的重要內容，並全面揭露相關風險。
2.如果涉及個人資料的收集、處理和利用，金融服務業應向金融消費者充分解釋與個人資料保護相關的權利，並說明拒絕同意可能造成的不利影響。在辦理信貸業務時，金融服務業應考慮信貸原則，包括借款人、資金用途、還款來源、債權保障和信貸前景等因素。不能僅因金融消費者拒絕授權向經營金融機構間的信用資料服務公司查詢信用資料，作為不同意授信的唯一理由。
3.對金融消費者進行的說明和揭露應以金融消費者能夠充分理解的文字或其他方式進行，內容應涵蓋但不限於交易成本、可能的收益和風險等與金融消費者權益相關的重要內容。相關規定的具體執行方式由主管機關確定。
4.如果金融服務業提供的金融商品屬於高風險、複雜性較高的商品，除非通過非櫃面的自動化交易管道交易或金融消費者不同意的情況外，金融服務業應進行錄音或錄影來進行上述解釋和揭露。"
二、行銷廣告,二、1.,廣告文宣內容之真實性，是否確認無誇大虛偽宣傳或宣示致使大眾誤解？,
二、行銷廣告,二、2.,針對廣告文宣之活動內容、客戶承作條件、限制條件、優惠條件及相關詳細內容是否確認已明確揭露？,
二、行銷廣告,二、3.,廣告文宣之內容是否確認無誤導消費者不正確之價值及理財觀念？,審核規範後，如果文本中你認為優惠條件沒有明確說明，不符合的原因請確切提出哪部分資訊尚未提供。
六、法令覆核,六、1.,廣宣資料確定內容無不當、不實陳述、誤導消費者或違反相關法令規章之情事。,"審查規範後，如果文本中你認為優惠條件沒有明確說明，不符合的原因請確切提出哪部分資訊尚未提供。
資料提供:
不實廣告案例類型
一、表示或表徵使人誤認事業主體係他事業之(總)代理商、(總)經銷商、分支機構、維修中心或服務站等具有一定之資格、信用或其他足以吸引其交易相對人與其交易者。
二、表示或表徵使人誤認政府機關、公益團體係主辦或協辦單位，或與政府機關、公益團體有關者。
三、表示或表徵使人誤認他事業名稱或產品品牌已變更者。
四、表示或表徵誇大營業規模、事業或商品(服務)品牌之創始時間或存續期間且差距過大者。
五、表示或表徵偽稱他人技術(合作)或授權者。
六、表示或表徵使人誤認已取得特定獎項，以提升商品(服務)之地位者。
七、表示或表徵使人誤認其有專利、商標授權或其他智慧財產權者。
八、表示或表徵使人誤認係特定商品(服務)之獨家供應者。
九、表示或表徵使人誤認其商品(服務)有投保責任險者。
十、表示或表徵訂價長期與實際售價不符且差距過大者。
十一、長期以特價或類似名義標示價格，而實為原價者。
十二、有最低或優惠價格之表示，然無符合最低或優惠價格商品(服務)或符合之商品(服務)數量過少，難為一般或相關大眾所接受者。
十三、表示或表徵使人誤認給付一定價格即可獲得所宣稱之商品(服務)者。
十四、表示或表徵之具體數字與實際不符，其差距逾越一般或相關大眾所能接受程度者。
十五、表示或表徵說明服務之項目或等級與實際之差距逾越一般或相關大眾所能接受程度者。
十六、表示或表徵說明自身或比較之商品(服務)具有一定品質，然差距逾越一般或相關大眾所能接受程度者。
十七、表示或表徵使人誤認商品(服務)已獲政府機關或其他專業機構核發證明或許可者。
十八、表示或表徵援引公文書敘述使人誤認商品(服務)品質者。
十九、表示或表徵使人誤認出版品之實際演出者、撰寫者或參與工作者。
二十、表示或表徵使人誤認商品具有特定功能，且差距逾越一般或相關大眾所能接受程度者。
二十一、實際附有條件、負擔、期間或其他限制等，而表示或表徵未予明示者。
二十二、表示或表徵將不同資格、性質、品質之商品(服務)合併敘述，使人誤認所提及商品(服務)皆具有相同之資格、性質、品質者。
二十三、表示或表徵產品原產地(國)之標示使人誤為係於該原產地(國)所生產或製造者。但該產地(國)名稱已為產品通用之說明者，不在此限。
二十四、銷售投資性商品或服務之事業所為表示或表徵使人誤認加盟者或經銷商有巨額收入者。
二十五、表示或表徵說明商品（服務）具有一定效果，而無科學學理或實驗依據。
二十六、表示或表徵之利率與實際成交之利率不符，其差距逾越一般或相關大眾所能接受程度者。
二十七、表示或表徵使人誤認其商品(服務)之製造者或提供者。
二十八、表示或表徵使人誤認政府將舉辦特定資格、公職考試或特定行業之檢定考試者。
二十九、廣告使用「第一」、「冠軍」、「最多」、「最大」……等最高級用語連結客觀陳述，但無銷售數字或意見調查等客觀數據佐證者。
三十、 表示或表徵未揭露交易之風險，或揭露之方式使人誤認其商品(服務)之提供合法。
三十一、表示或表徵就贈品(或贈獎或抽獎)活動之內容、參加辦法等與實際不符；或附有條件、負擔或其他限制未予明示者。"
七、信託業務行銷廣告,七、1.,廣告文宣之內容如涉及信託業務(如奈米投)，是否符合信託業從事廣告、業務招攬及營業促銷活動應遵循事項第六條第一項第十一款：從事高齡者或身心障礙者財產信託業務(以下簡稱安養信託)之宣導推廣活動時，提供贈品之單一成本價格上限為新臺幣五百元，安養信託以外之一般信託業務之宣導推廣活動，提供贈品之單一成本價格上限為新臺幣二百元，且均不得重複領取或累積金額以換取其他贈品。贈品活動不得變相誘導投資大眾或客戶申購特定金融商品。,
七、信託業務行銷廣告,七、2.,根據我提供的資料，確認廣告文文之內容如涉及信託業務，並且涉及特定投資標的？ （不得對一般大眾）,"特定投資標的: 特定金錢信託/有價證券信託
奈米投跟特定投資標的無關，因此最後是否符合輸出為:""不適用""

其他相關規範:
信託業營運範圍受益權轉讓限制風險揭露及行銷訂約管理辦法第21條：
1.信託業辦理不具運用決定權之金錢信託（以下簡稱**特定金錢信託**）或**有價證券信託**（以下簡稱特定有價證券信託）業務，以**受託投資外國有價證券為目的**者，應遵守下列事項。但境外基金管理辦法及境外結構型商品管理規則另有規定者，從其規定：
    (1)信託業所提供之商品說明書等資料，僅得於特定營業櫃檯放置。
    (2)不得對一般大眾就特定投資標的進行廣告、業務招攬及營業促銷活動。
    (3)對已簽訂信託契約之客戶，得就特定投資標的以當面洽談、電話或電子郵件聯繫、寄發商品說明書之方式進行推介。但不包含年齡為七十歲以上、教育程度為國中畢業以下或有全民健康保險重大傷病證明之非專業投資人。
    (4)如特定投資標的之發行機構登記或註冊之所在地、發行之商品掛牌或上市地，有限制僅專業投資人得投資或屬私募商品者，信託業僅得受理專業投資人委託投資。但委託人符合該特定投資標的要求之投資人資格者，不在此限。
    
2.前項第三款之客戶為非專業投資人時，信託業應遵守下列事項：
    (1)信託業之推介行為須事先徵取委託人之同意書，且不得以併入其他約據之方式辦理。委託人得隨時終止該推介行為，並於書面指示送達信託業後生效。
    (2)信託業推介之特定投資標的，應依證券商受託買賣外國有價證券管理規則之規定，已於主管機關指定之外國證券交易所交易。
    
3.本辦法所稱書面，依電子簽章法之規定，得以電子文件為之。"
七、信託業務行銷廣告,七、3.,奈米投是否未提及「代操」、「智能理財」等語？,
七、信託業務行銷廣告,七、4.,廣告文宣之內容如涉及信託業務(如奈米投)，並且涉及投資理財分析等金融專業及相關事實陳述，是否具備合理分析基礎及根據？,投資理財分析等金融專業及相關事實陳述: 文本中有提到投資產品(實際)的報酬率(%)或相關量化分析的陳述
七、信託業務行銷廣告,七、6.,廣告文宣之內容如涉及信託業務(如奈米投)，是否「未貶低或詆毀其他同業或競爭者之業務或聲譽、貶低整體行業聲譽或以攻訐同業之方式作宣傳」？,
